Дата,Изменение наличных денег в обращении (вне Банка России),Всего,движение средств по государственному внутреннему долгу,изменение задолженности банков по депозитам Федерального казначейства,изменение задолженности банков по операциям репо Федерального казначейства,операции Минфина России по покупке (продаже) иностранной валюты на внутреннем валютном рынке*,Регулирование Банком России обязательных резервов кредитных организаций,Интервенции Банка России на внутреннем валютном рынке,Нетто-объем операций Банка России по предоставлению и абсорбированию ликвидности (без учета операций на внутреннем валютном рынке)
2011-04-15,-37.72,-11.46,0.0,0.0,0.0,0.0,-9.5,4.24,79.66
2011-04-18,12.18,-32.2,0.0,0.0,0.0,0.0,-26.81,4.23,9.32
2011-04-19,9.77,22.57,0.0,0.0,0.0,0.0,0.0,4.23,-10.61
2011-04-20,-3.27,-153.57,0.0,0.0,0.0,0.0,0.0,4.25,54.45
2011-04-21,-11.19,8.06,0.0,0.0,0.0,0.0,0.07,4.22,-17.86
2011-04-22,-15.27,-1.13,0.0,0.0,0.0,0.0,-0.01,4.18,53.04
2011-04-25,30.43,-180.67,0.0,0.0,0.0,0.0,0.0,3.94,55.76
2011-04-26,22.86,21.88,0.0,0.0,0.0,0.0,0.0,4.45,26.0
2011-04-27,7.54,-37.91,0.0,0.0,0.0,0.0,0.0,7.32,56.14
2011-04-28,-15.72,-187.81,0.0,0.0,0.0,0.0,0.0,8.32,87.12
2011-04-29,-39.32,65.04,0.0,0.0,0.0,0.0,0.0,8.26,67.67
2011-05-03,30.9,56.87,0.0,0.0,0.0,0.0,0.0,6.84,10.29
2011-05-04,15.2,60.68,0.0,0.0,0.0,0.0,0.0,6.84,-150.5
2011-05-05,-31.52,78.51,0.0,0.0,0.0,0.0,0.0,6.82,-48.18
2011-05-06,-45.95,95.14,0.0,0.0,0.0,0.0,0.0,6.82,-131.88
2011-05-10,26.16,6.49,0.0,0.0,0.0,0.0,0.0,6.94,106.0
2011-05-11,7.31,-31.54,0.0,0.0,0.0,0.0,0.03,6.95,-4.89
2011-05-12,-25.58,-0.16,0.0,0.0,0.0,0.0,0.0,6.91,0.43
2011-05-13,-35.65,0.45,0.0,0.0,0.0,0.0,0.0,7.0,70.25
2011-05-16,12.0,-36.28,0.0,0.0,0.0,0.0,-0.01,6.97,16.88
2011-05-17,6.73,-2.85,0.0,0.0,0.0,0.0,-0.4,7.04,-24.84
2011-05-18,-5.24,-3.23,0.0,0.0,0.0,0.0,-18.08,7.04,44.23
2011-05-19,-14.97,-5.18,0.0,0.0,0.0,0.0,-36.2,7.01,57.63
2011-05-20,-21.41,-68.8,0.0,0.0,0.0,0.0,-0.03,7.0,54.45
2011-05-23,27.35,-6.52,0.0,0.0,0.0,0.0,0.0,6.99,-42.61
2011-05-24,21.4,-61.5,0.0,0.0,0.0,0.0,0.01,3.41,39.52
2011-05-25,9.01,-151.94,0.0,0.0,0.0,0.0,0.0,3.41,65.34
2011-05-26,-2.16,-68.06,0.0,0.0,0.0,0.0,0.0,3.42,45.03
2011-05-27,-6.1,8.62,0.0,0.0,0.0,0.0,0.0,6.77,28.22
2011-05-30,32.28,-66.78,0.0,0.0,0.0,0.0,0.0,0.97,-6.35
2011-05-31,22.31,41.32,0.0,0.0,0.0,0.0,0.0,13.08,-37.19
2011-06-01,2.45,46.16,0.0,0.0,0.0,0.0,0.0,5.22,-141.51
2011-06-02,-20.0,35.72,0.0,0.0,0.0,0.0,0.06,6.12,-85.92
2011-06-03,-37.36,73.38,0.0,0.0,0.0,0.0,0.01,4.13,-53.76
2011-06-06,10.37,19.54,0.0,0.0,0.0,0.0,0.0,6.53,17.78
2011-06-07,1.87,-12.5,0.0,0.0,0.0,0.0,0.02,3.34,-36.67
2011-06-08,-14.29,28.85,0.0,0.0,0.0,0.0,0.0,3.33,30.0
2011-06-09,-40.9,10.14,0.0,0.0,0.0,0.0,0.04,6.93,-22.62
2011-06-10,-61.36,-9.04,0.0,0.0,0.0,0.0,0.0,6.93,87.97
2011-06-14,18.7,-48.2,0.0,0.0,0.0,0.0,0.0,6.96,67.95
2011-06-15,6.91,-41.41,0.0,0.0,0.0,0.0,0.32,6.97,54.77
2011-06-16,-18.89,9.43,0.0,0.0,0.0,0.0,8.3,6.98,-24.26
2011-06-17,-29.64,7.4,0.0,0.0,0.0,0.0,-4.89,7.06,185.11
2011-06-20,19.43,-113.79,0.0,0.0,0.0,0.0,0.0,7.03,-3.53
2011-06-21,18.47,50.62,0.0,0.0,0.0,0.0,0.01,3.38,-24.12
2011-06-22,3.07,33.61,0.0,0.0,0.0,0.0,0.0,6.46,46.17
2011-06-23,-9.27,9.75,0.0,0.0,0.0,0.0,0.01,6.1,-74.86
2011-06-24,-10.45,-33.05,0.0,0.0,0.0,0.0,0.25,6.82,11.22
2011-06-27,33.51,-195.04,0.0,0.0,0.0,0.0,0.0,3.38,157.82
2011-06-28,23.22,-14.5,0.0,0.0,0.0,0.0,0.0,3.4,18.07
2011-06-29,10.13,79.58,0.0,0.0,0.0,0.0,0.0,3.39,-77.25
2011-06-30,-10.91,70.2,0.0,0.0,0.0,0.0,0.0,3.36,-14.92
2011-07-01,-31.32,61.58,0.0,0.0,0.0,0.0,0.0,3.51,-51.83
2011-07-04,10.77,-20.65,0.0,0.0,0.0,0.0,0.0,0.38,-81.02
2011-07-05,0.54,69.56,0.0,0.0,0.0,0.0,0.0,10.44,-57.71
2011-07-06,-15.57,33.99,0.0,0.0,0.0,0.0,0.0,6.97,-141.69
2011-07-07,-33.62,28.47,0.0,0.0,0.0,0.0,0.0,6.99,-2.55
2011-07-08,-42.3,14.99,0.0,0.0,0.0,0.0,0.0,7.0,-97.04
2011-07-11,9.08,-23.0,0.0,0.0,0.0,0.0,0.0,6.98,168.9
2011-07-12,1.18,-7.61,0.0,0.0,0.0,0.0,0.0,7.04,7.98
2011-07-13,-15.33,-9.61,0.0,0.0,0.0,0.0,0.0,7.09,6.37
2011-07-14,-27.98,-17.89,0.0,0.0,0.0,0.0,-0.07,7.05,77.71
2011-07-15,-37.98,-11.13,0.0,0.0,0.0,0.0,-4.43,7.02,45.43
2011-07-18,16.78,-96.04,0.0,0.0,0.0,0.0,-5.81,7.03,130.64
2011-07-19,10.2,-21.52,0.0,0.0,0.0,0.0,0.0,7.05,-22.47
2011-07-20,-2.86,-59.99,0.0,0.0,0.0,0.0,0.0,7.02,0.49
2011-07-21,-7.87,-6.96,0.0,0.0,0.0,0.0,0.0,7.0,22.55
2011-07-22,-12.79,-23.41,0.0,0.0,0.0,0.0,0.0,6.98,77.66
2011-07-25,30.23,-223.53,0.0,0.0,0.0,0.0,0.0,6.93,70.5
2011-07-26,26.64,-9.69,0.0,0.0,0.0,0.0,0.0,6.93,41.77
2011-07-27,15.09,-78.53,0.0,0.0,0.0,0.0,0.0,6.89,133.7
2011-07-28,3.02,-63.67,0.0,0.0,0.0,0.0,0.0,6.86,33.26
2011-07-29,-7.47,36.95,0.0,0.0,0.0,0.0,0.0,6.9,-29.0
2011-08-01,25.14,44.84,0.0,0.0,0.0,0.0,0.0,6.93,-15.71
2011-08-02,8.73,36.47,0.0,0.0,0.0,0.0,0.0,6.89,-33.77
2011-08-03,-9.55,47.26,0.0,0.0,0.0,0.0,0.0,6.95,-143.92
2011-08-04,-31.33,48.49,0.0,0.0,0.0,0.0,0.0,6.96,-27.97
2011-08-05,-38.61,62.69,0.0,0.0,0.0,0.0,0.0,6.99,-59.19
2011-08-08,10.25,10.82,0.0,0.0,0.0,0.0,0.0,3.39,-39.21
2011-08-09,3.56,19.3,0.0,0.0,0.0,0.0,0.0,2.29,-179.18
2011-08-10,-15.19,78.14,0.0,0.0,0.0,0.0,0.0,-17.98,261.7
2011-08-11,-31.99,-14.84,0.0,0.0,0.0,0.0,0.0,-1.87,87.81
2011-08-12,-42.36,27.16,0.0,0.0,0.0,0.0,0.05,-1.32,-47.2
2011-08-15,6.35,-78.19,0.0,0.0,0.0,0.0,2.3,0.0,63.7
2011-08-16,3.16,24.62,0.0,0.0,0.0,0.0,-3.33,0.0,5.84
2011-08-17,-8.78,75.44,0.0,0.0,0.0,0.0,0.03,0.0,-71.75
2011-08-18,-16.48,-18.68,0.0,0.0,0.0,0.0,0.0,0.0,-15.03
2011-08-19,-21.21,-8.06,0.0,0.0,0.0,0.0,0.0,0.0,-32.73
2011-08-22,27.89,-89.47,0.0,0.0,0.0,0.0,0.0,0.0,62.98
2011-08-23,21.0,-11.86,0.0,0.0,0.0,0.0,0.0,0.0,38.1
2011-08-24,11.2,35.83,0.0,0.0,0.0,0.0,0.0,0.0,-99.71
2011-08-25,0.47,-226.38,0.0,0.0,0.0,0.0,0.0,0.0,157.23
2011-08-26,-6.94,-31.32,0.0,0.0,0.0,0.0,0.0,0.0,84.68
2011-08-29,33.91,-139.77,0.0,0.0,0.0,0.0,0.0,0.0,35.09
2011-08-30,25.73,48.49,0.0,0.0,0.0,0.0,0.0,0.0,-36.64
2011-08-31,12.79,41.8,0.0,0.0,0.0,0.0,0.0,0.0,-24.16
2011-09-01,-7.97,6.7,0.0,0.0,0.0,0.0,0.0,0.0,-34.6
2011-09-02,-29.53,23.76,0.0,0.0,0.0,0.0,0.0,0.0,-32.18
2011-09-05,12.56,24.77,0.0,0.0,0.0,0.0,0.0,0.0,59.45
2011-09-06,3.73,32.63,0.0,0.0,0.0,0.0,0.0,0.0,-126.73
2011-09-07,-10.29,29.23,0.0,0.0,0.0,0.0,0.0,0.0,-36.1
2011-09-08,-26.23,5.56,0.0,0.0,0.0,0.0,0.0,0.0,-5.12
2011-09-09,-39.33,21.87,0.0,0.0,0.0,0.0,0.0,0.0,71.18
2011-09-12,9.94,-4.61,0.0,0.0,0.0,0.0,0.0,0.0,9.89
2011-09-13,0.77,13.22,0.0,0.0,0.0,0.0,0.0,-3.41,66.82
2011-09-14,-13.27,-36.22,0.0,0.0,0.0,0.0,0.13,-3.63,64.22
2011-09-15,-22.71,-39.75,0.0,0.0,0.0,0.0,-0.65,-3.64,52.89
2011-09-16,-31.61,23.11,0.0,0.0,0.0,0.0,-3.89,-3.66,105.08
2011-09-19,17.26,-40.44,0.0,0.0,0.0,0.0,-0.01,-3.66,4.73
2011-09-20,9.3,3.43,0.0,0.0,0.0,0.0,0.0,-7.74,33.61
2011-09-21,4.81,85.15,0.0,0.0,0.0,0.0,0.0,-10.01,-92.06
2011-09-22,-6.59,3.44,0.0,0.0,0.0,0.0,0.0,-10.73,31.18
2011-09-23,-9.26,131.08,0.0,0.0,0.0,0.0,0.0,-14.4,-67.61
2011-09-26,33.48,-161.73,0.0,0.0,0.0,0.0,0.0,-56.3,119.57
2011-09-27,27.69,-10.09,0.0,0.0,0.0,0.0,0.0,-76.75,9.11
2011-09-28,12.74,-62.25,0.0,0.0,0.0,0.0,0.0,-10.19,18.55
